"","x"
"1",0
"2",1
"3",1
"4",1
"5",1
"6",0
"7",0
"8",0
"9",0
"10",1
"11",1
"12",1
"13",0
"14",0
"15",0
"16",0
"17",0
"18",1
"19",1
"20",1
"21",1
"22",0
"23",0
"24",0
"25",0
"26",1
"27",1
"28",0
"29",1
"30",0
"31",1
"32",1
"33",0
"34",0
"35",0
"36",0
"37",0
"38",0
"39",0
"40",1
"41",1
"42",0
"43",0
"44",0
"45",0
"46",1
"47",1
"48",1
"49",0
"50",0
"51",1
"52",1
"53",1
"54",0
"55",0
"56",0
"57",1
"58",1
"59",0
"60",0
"61",1
"62",1
"63",0
"64",0
"65",1
"66",0
"67",1
"68",0
"69",1
"70",0
"71",0
"72",1
"73",1
"74",0
"75",0
"76",0
"77",0
"78",0
"79",1
"80",0
"81",0
"82",1
"83",1
"84",0
"85",1
"86",1
"87",0
"88",0
"89",0
"90",0
"91",0
"92",0
"93",0
"94",1
"95",1
"96",1
"97",0
"98",1
"99",1
"100",0
"101",1
"102",1
"103",1
"104",1
"105",0
"106",1
"107",0
"108",1
"109",1
"110",1
"111",0
"112",0
"113",1
"114",0
"115",0
"116",1
"117",1
"118",0
"119",0
"120",0
"121",1
"122",1
"123",0
"124",1
"125",1
"126",1
"127",1
"128",0
"129",0
"130",0
"131",1
"132",1
"133",0
"134",0
"135",1
"136",0
"137",1
"138",1
"139",0
"140",0
"141",0
"142",0
"143",0
"144",0
"145",0
"146",1
"147",0
"148",0
"149",0
"150",1
"151",0
"152",0
"153",0
"154",0
"155",1
"156",1
"157",1
"158",0
"159",0
"160",1
"161",1
"162",1
"163",1
"164",1
"165",0
"166",1
"167",0
"168",0
"169",0
"170",1
"171",0
"172",0
"173",1
"174",0
"175",1
"176",0
"177",1
"178",0
"179",1
"180",1
"181",1
"182",0
"183",0
"184",0
"185",1
"186",0
"187",1
"188",0
"189",1
"190",1
"191",1
"192",0
"193",1
"194",1
"195",0
"196",1
"197",1
"198",0
"199",0
"200",1
"201",1
"202",1
"203",1
"204",1
"205",1
"206",1
"207",1
"208",1
"209",1
"210",1
"211",0
"212",1
"213",1
"214",1
"215",0
"216",1
"217",0
"218",0
"219",0
"220",1
"221",1
"222",1
"223",1
"224",0
"225",1
"226",1
"227",0
"228",1
"229",1
"230",1
"231",0
"232",0
"233",1
"234",0
"235",0
"236",1
"237",1
"238",1
"239",0
"240",1
"241",1
"242",1
"243",1
"244",0
"245",0
"246",1
"247",0
"248",1
"249",0
"250",0
"251",0
"252",1
"253",0
"254",0
"255",1
"256",0
"257",1
"258",1
"259",1
"260",0
"261",0
"262",0
"263",1
"264",1
"265",1
"266",0
"267",1
"268",0
"269",1
"270",0
"271",0
"272",0
"273",1
"274",0
"275",0
"276",0
"277",0
"278",1
"279",0
"280",1
"281",1
"282",0
"283",0
"284",0
"285",0
"286",0
"287",0
"288",0
"289",0
"290",1
"291",0
"292",1
"293",1
"294",0
"295",0
"296",0
"297",0
"298",1
"299",1
"300",1
"301",1
"302",1
"303",1
"304",1
"305",1
"306",1
"307",0
"308",1
"309",1
"310",1
"311",1
"312",0
"313",0
"314",0
"315",1
"316",0
"317",0
"318",1
"319",1
"320",1
"321",1
"322",0
"323",1
"324",0
"325",0
"326",0
"327",1
"328",1
"329",1
"330",1
"331",1
"332",0
"333",1
"334",1
"335",1
