schoolid,schoolname,calendaryear,numapps,numftapps,numptapps,numoffers,numftoffers,numptoffers,nummatriculants,numftmatriculants,numptmatriculants,uggpa75,ftuggpa75,ptuggpa75,uggpa50,ftuggpa50,ptuggpa50,uggpa25,ftuggpa25,ptuggpa25,uggpaexcl,ftuggpaexcl,ptuggpaexcl,lsat75,ftlsat75,ptlsat75,lsat50,ftlsat50,ptlsat50,lsat25,ftlsat25,ptlsat25,lsatexcl,ftlsatexcl,ptlsatexcl,otherfirstyear,totalfirstyear
00100300,Faulkner University,2011,717,717,0,406,406,0,124,124,0,3.36,3.36,,3.04,3.04,,2.66,2.66,,,,,152,152,,149,149,,146,146,,,,,,
00100300,Faulkner University,2012,785,785,0,490,490,0,127,127,0,3.34,3.34,,3.05,3.05,,2.69,2.69,,,,,150,150,,147,147,,145,145,,,,,,
00100300,Faulkner University,2013,494,494,0,377,377,0,104,104,0,3.42,3.42,,3.14,3.14,,2.77,2.77,,,,,151,151,,146,146,,142,142,,,,,,
00100300,Faulkner University,2014,459,459,0,353,353,0,113,113,0,3.34,3.34,,2.98,2.98,,2.72,2.72,,0,0,,149,149,,145,145,,142,142,,0,0,,,
00100300,Faulkner University,2015,408,408,0,284,284,0,101,101,0,3.44,3.44,,2.96,2.96,,2.68,2.68,,0,0,,149,149,,145,145,,142,142,,0,0,,,
00100300,Faulkner University,2016,304,304,0,208,208,0,92,92,0,3.45,3.45,,2.92,2.92,,2.51,2.51,,0,0,,149,149,,145,145,,142,142,,0,0,,,
00100300,Faulkner University,2017,381,,,183,,,69,,,3.4,,,2.98,,,2.61,,,0,,,151,,,147,,,145,,,0,,,2,71
00103600,Samford University,2011,1405,1405,0,588,588,0,152,152,0,3.53,3.53,,3.29,3.29,,2.97,2.97,,,,,157,157,,155,155,,152,152,,,,,,
00103600,Samford University,2012,1361,1361,0,560,560,0,121,121,0,3.57,3.57,,3.35,3.35,,3.09,3.09,,,,,158,158,,153,153,,151,151,,,,,,
00103600,Samford University,2013,713,713,0,567,567,0,173,173,0,3.5,3.5,,3.25,3.25,,2.88,2.88,,,,,155,155,,150,150,,148,148,,,,,,
00103600,Samford University,2014,688,688,0,522,522,0,146,146,0,3.52,3.52,,3.2,3.2,,2.89,2.89,,1,1,,154,154,,151,151,,148,148,,0,0,,,
00103600,Samford University,2015,659,659,0,429,429,0,150,150,0,3.53,3.53,,3.23,3.23,,2.98,2.98,,0,0,,153,153,,151,151,,148,148,,0,0,,,
00103600,Samford University,2016,579,579,0,396,396,0,149,149,0,3.59,3.59,,3.31,3.31,,2.92,2.92,,0,0,,155,155,,152,152,,149,149,,0,0,,,
00103600,Samford University,2017,579,,,424,,,147,,,3.61,,,3.36,,,3.05,,,0,,,154,,,151,,,148,,,0,,,1,148
00105100,University of Alabama,2011,1872,1872,0,473,473,0,160,160,0,3.94,3.94,,3.83,3.83,,3.42,3.42,,,,,167,167,,165,165,,158,158,,,,,,
00105100,University of Alabama,2012,1679,1679,0,423,423,0,149,149,0,3.94,3.94,,3.83,3.83,,3.31,3.31,,,,,167,167,,165,165,,158,158,,,,,,
00105100,University of Alabama,2013,1849,1849,0,454,454,0,145,145,0,3.94,3.94,,3.86,3.86,,3.42,3.42,,,,,166,166,,164,164,,157,157,,,,,,
