schoolid,schoolname,calendaryear,firsttimebaryear,state,takers,passers,schoolpasspct,passpct,passpctdiff
00100300,Faulkner University,2009,2008,AL,58,54,0.931,0.8902,0.0408
00100300,Faulkner University,2009,2008,GA,3,3,1,0.8927,0.1073
00100300,Faulkner University,2010,2009,AL,65,58,0.8923,0.8651,0.0272
00100300,Faulkner University,2010,2009,TN,2,2,1,0.8244,0.1756
00100300,Faulkner University,2011,2010,AL,60,55,0.9167,0.8491,0.0676
00100300,Faulkner University,2011,2010,GA,8,7,0.875,0.8361,0.0389
00100300,Faulkner University,2011,2010,SC,4,4,1,0.7969,0.2031
00100300,Faulkner University,2011,2010,TN,2,2,1,0.8424,0.1576
00100300,Faulkner University,2012,2011,AL,71,64,0.9014,0.8758,0.0256
00100300,Faulkner University,2012,2011,GA,14,12,0.8571,0.8477,0.0094
00100300,Faulkner University,2013,2012,AL,53,50,0.9434,0.8756,0.0678
00100300,Faulkner University,2013,2012,FL,5,4,0.8,0.7932,0.0068
00100300,Faulkner University,2013,2012,GA,9,6,0.6667,0.8398,-0.1731
00100300,Faulkner University,2013,2012,TN,7,5,0.7143,0.7712,-0.0569
00100300,Faulkner University,2014,2013,AL,67,64,0.9552,0.8689,0.0863
00100300,Faulkner University,2014,2013,TN,7,4,0.5714,0.8549,-0.2835
00100300,Faulkner University,2015,2014,AL,58,40,0.6897,0.8845,-0.1948
00100300,Faulkner University,2016,2015,AL,63,43,0.6825,0.8219,-0.1394
00100300,Faulkner University,2016,2015,FL,4,1,0.25,0.6779,-0.4279
00100300,Faulkner University,2016,2015,GA,10,4,0.4,0.7345,-0.3345
00100300,Faulkner University,2016,2015,TN,4,3,0.75,0.7804,-0.0304
00100300,Faulkner University,2016,2015,TX,3,2,0.6667,0.7321,-0.0654
00100300,Faulkner University,2017,2016,AL,59,45,0.7627,0.7951,-0.0324
00100300,Faulkner University,2018,2017,AL,57,30,0.5263,0.7929,-0.2666
00103600,Samford University,2009,2008,AL,92,88,0.9565,0.8902,0.0663
00103600,Samford University,2009,2008,GA,22,20,0.9091,0.8927,0.0164
00103600,Samford University,2010,2009,AL,105,97,0.9238,0.8651,0.0587
00103600,Samford University,2011,2010,AL,117,110,0.9402,0.8491,0.0911
00103600,Samford University,2012,2011,AL,107,99,0.9252,0.8758,0.0494
00103600,Samford University,2013,2012,AL,112,108,0.9643,0.8756,0.0887
00103600,Samford University,2014,2013,AL,102,88,0.8627,0.8689,-0.0062
00103600,Samford University,2014,2013,GA,24,19,0.7917,0.8515,-0.0598
00103600,Samford University,2015,2014,AL,83,70,0.8434,0.8845,-0.0411
00103600,Samford University,2015,2014,GA,17,13,0.7647,0.8023,-0.0376
00103600,Samford University,2016,2015,AL,81,63,0.7778,0.8219,-0.0441
00103600,Samford University,2016,2015,GA,11,10,0.9091,0.7345,0.1746
00103600,Samford University,2017,2016,AL,113,76,0.6726,0.7951,-0.1225
