schoolid,schoolname,calendaryear,firsttimebaryear,gradtotal,graddidnottake,gradnoinfo,prioryrfirsttimetaker,totalfirsttimetakers,reportpct,avgschoolpasspct,avgstatepasspct,avgpasspctdiff,ultimatebaryear,ultimatecohorttotal,ultimatedidnottake,ultimatenoinfo,ultimatetakers,ultimatepassers,ultimateschoolpasspct
00100300,Faulkner University,2009,2008,,,,,62,0.9839,0.9344,0.8903,0.0441,,,,,,,
00100300,Faulkner University,2010,2009,,,,,75,0.8933,0.8956,0.8639,0.0317,,,,,,,
00100300,Faulkner University,2011,2010,,,,,83,0.8916,0.919,0.8448,0.0742,,,,,,,
00100300,Faulkner University,2012,2011,,,,,99,0.8586,0.8941,0.8712,0.0229,,,,,,,
00100300,Faulkner University,2013,2012,,,,,97,0.7629,0.8785,0.8558,0.0227,,,,,,,
00100300,Faulkner University,2014,2013,,,,,98,0.7551,0.9189,0.8676,0.0513,,,,,,,
00100300,Faulkner University,2015,2014,,,,,80,0.725,0.6897,0.8845,-0.1948,,,,,,,
00100300,Faulkner University,2016,2015,,,,,91,0.978,0.6514,0.7986,-0.1472,,,,,,,
00100300,Faulkner University,2017,2016,77,13,3,10,71,,0.7042,0.7804,-0.0762,,,,,,,
00100300,Faulkner University,2018,2017,74,8,7,14,73,,0.5068,0.78,-0.2732,2015,89,2,0,87,72,0.8276
00103600,Samford University,2009,2008,,,,,156,0.7308,0.9473,0.8907,0.0566,,,,,,,
00103600,Samford University,2010,2009,,,,,150,0.7,0.9238,0.8651,0.0587,,,,,,,
00103600,Samford University,2011,2010,,,,,148,0.7905,0.9402,0.8491,0.0911,,,,,,,
00103600,Samford University,2012,2011,,,,,141,0.7589,0.9252,0.8758,0.0494,,,,,,,
00103600,Samford University,2013,2012,,,,,156,0.7179,0.9643,0.8756,0.0887,,,,,,,
00103600,Samford University,2014,2013,,,,,152,0.8289,0.8492,0.8656,-0.0164,,,,,,,
00103600,Samford University,2015,2014,,,,,123,0.813,0.83,0.8705,-0.0405,,,,,,,
00103600,Samford University,2016,2015,,,,,107,0.8598,0.7935,0.8114,-0.0179,,,,,,,
00103600,Samford University,2017,2016,151,29,0,21,143,,0.6364,0.7753,-0.1389,,,,,,,
00103600,Samford University,2018,2017,144,26,7,21,132,,0.7045,0.7817,-0.0772,2015,134,12,13,109,99,0.9083
00105100,University of Alabama,2009,2008,,,,,136,0.7721,0.9715,0.8896,0.0819,,,,,,,
00105100,University of Alabama,2010,2009,,,,,149,0.7852,0.9658,0.8649,0.1009,,,,,,,
00105100,University of Alabama,2011,2010,,,,,176,0.7273,0.9531,0.8491,0.104,,,,,,,
00105100,University of Alabama,2012,2011,,,,,153,0.7778,0.9412,0.8709,0.0703,,,,,,,
00105100,University of Alabama,2013,2012,,,,,167,0.7425,0.9677,0.8727,0.095,,,,,,,
00105100,University of Alabama,2014,2013,,,,,155,0.7097,0.9636,0.8612,0.1024,,,,,,,
00105100,University of Alabama,2015,2014,,,,,173,0.8092,0.95,0.8626,0.0874,,,,,,,
00105100,University of Alabama,2016,2015,,,,,138,0.7536,0.9134,0.8101,0.1033,,,,,,,
00105100,University of Alabama,2017,2016,144,17,2,13,138,,0.9058,0.7641,0.1417,,,,,,,
00105100,University of Alabama,2018,2017,132,16,2,14,128,,0.9375,0.7788,0.1587,2015,144,4,0,140,127,0.9071
00108100,Arizona State University,2009,2008,,,,,200,0.86,0.8953,0.8403,0.055,,,,,,,
00108100,Arizona State University,2010,2009,,,,,182,0.7912,0.8333,0.7976,0.0357,,,,,,,
00108100,Arizona State University,2011,2010,,,,,155,0.9161,0.8592,0.8074,0.0518,,,,,,,
