schoolid,schoolname,calendaryear,academicyear,ftjd1sectionsz,ptjd1sectionsz,postjd1courses,courseseclt25,courseseclt50,courseseclt75,courseseclt100,coursesectgte100,totalsimpos,ftsimposfilled,ptsimposfilled,ftsemposfilled,ptsemposfilled,totalclinpos,ftclinposfilled,ftfieldposfilled,ftindstudy,ftlawjour,ftinterskillscomp,ptclinposfilled,ptfieldposfilled,ptindstudy,ptlawjour,ptinterskillscomp,gradreqcredithrs,jd1sectionsz,simposfilled,semposfilled,totalclinics,clinposfilled,fieldposfilled,indstudy,lawjour,interskillscomp,fyreqcourscredithrs,ulreqcourscredithrs
00100300,Faulkner University,2011,2010,75,0,51,41,15,9,0,0,226,187,11,71,5,80,75,73,,42,49,1,2,,3,0,90,75,198,76,,76,75,,45,49,,
00100300,Faulkner University,2012,2011,65,0,66,43,10,13,0,0,328,261,0,,,72,72,64,2,43,66,0,0,0,0,0,90,65,261,,,72,64,2,43,66,,
00100300,Faulkner University,2013,2012,60,0,69,50,21,5,0,0,280,231,0,,,72,61,76,3,44,52,0,0,0,0,0,90,60,231,,,61,76,3,44,52,,
00100300,Faulkner University,2014,2013,50,0,80,61,18,2,1,0,306,238,0,71,0,76,64,87,5,90,62,0,0,0,0,0,88,50,238,71,,64,87,5,90,62,,
00100300,Faulkner University,2015,2014,59,,55,48,22,3,0,0,312,179,,73,,98,60,61,4,83,42,,,,,,88,59,179,73,4,60,61,4,83,42,,
00100300,Faulkner University,2016,2015,,,55,46,14,2,2,1,389,,,,,82,,,,,,,,,,,90,52,228,54,3,62,55,4,61,37,,
00100300,Faulkner University,2017,2016,,,59,58,33,2,4,0,314,,,,,86,,,,,,,,,,,90,45,,,,,60,,,,32,37
00103600,Samford University,2011,2010,54,0,112,75,37,16,0,0,466,397,0,176,0,0,0,49,,91,46,0,0,,0,0,90,54,397,176,,0,49,,91,46,,
00103600,Samford University,2012,2011,50,0,121,90,42,17,0,0,424,376,0,,,0,0,71,121,111,45,0,0,0,0,0,90,50,376,,,0,71,121,111,45,,
00103600,Samford University,2013,2012,40,0,108,68,42,12,0,0,365,312,0,,,0,0,77,120,84,53,0,0,0,0,0,90,40,312,,,0,77,120,84,53,,
00103600,Samford University,2014,2013,57,0,99,94,37,8,0,0,426,350,0,119,0,0,0,57,91,67,65,0,0,0,0,0,90,57,350,119,,0,57,91,67,65,,
00103600,Samford University,2015,2014,49,,112,84,36,14,0,0,450,362,,143,,0,0,55,92,74,68,,,,,,90,49,362,143,0,0,55,92,74,68,,
00103600,Samford University,2016,2015,,,164,99,43,10,1,0,398,,,,,0,,,,,,,,,,,90,50,346,232,0,0,56,75,77,46,,
00103600,Samford University,2017,2016,,,152,79,40,11,0,1,414,,,,,0,,,,,,,,,,,90,50,,,,,42,,,,30,20
00105100,University of Alabama,2011,2010,55,0,126,122,29,6,2,4,487,402,0,189,0,154,146,93,,128,116,0,0,,0,0,90,55,402,189,,146,93,,128,116,,
00105100,University of Alabama,2012,2011,50,0,176,122,30,8,1,1,395,303,0,,,115,111,112,58,126,102,0,0,0,0,0,90,50,303,,,111,112,58,126,102,,
00105100,University of Alabama,2013,2012,52,0,184,147,29,9,1,0,546,376,0,,,153,138,93,41,122,53,0,0,0,0,0,90,52,376,,,138,93,41,122,53,,
00105100,University of Alabama,2014,2013,50,0,165,161,22,7,3,2,396,294,0,179,0,146,130,76,42,152,55,0,0,0,0,0,90,50,294,179,,130,76,42,152,55,,
