schoolid,schoolname,cohort,lt_emp,bar_ftlt,bar_ftst,bar_ptlt,bar_ptst,bar_emp,jda_ftlt,jda_ftst,jda_ptlt,jda_ptst,jda_emp,prof_ftlt,prof_ftst,prof_ptlt,prof_ptst,prof_emp,nprof_ftlt,nprof_ftst,nprof_ptlt,nprof_ptst,nprof_emp,undet_ftlt,undet_ftst,undet_ptlt,undet_ptst,undet_emp,gradsch_ft,unemp_def,unemp_ns,unemp_seek,emp_stat_unk,total_grads,fundbar_ftlt,fundbar_ftst,fundbar_ptlt,fundbar_ptst,fundbar_emp,lawfund_lt,lawfund_st,fundjda_ftlt,fundjda_ftst,fundjda_ptlt,fundjda_ptst,fundjda_emp,fundprof_ftlt,fundprof_ftst,fundprof_ptlt,fundprof_ptst,fundprof_emp,fundnprof_ftlt,fundnprof_ftst,fundnprof_ptlt,fundnprof_ptst,fundnprof_emp,funded_ftlt,funded_ftst,funded_ptlt,funded_ptst,funded_emp,solo_ftlt,solo_ftst,solo_ptlt,solo_ptst,solo_emp,solo_lt,solo_st,sz_2_10_ftlt,sz_2_10_ftst,sz_2_10_ptlt,sz_2_10_ptst,sz_2_10_emp,sz_2_10_lt,sz_2_10_st,sz_11_25_ftlt,sz_11_25_ftst,sz_11_25_ptlt,sz_11_25_ptst,sz_11_25_emp,sz_11_25_lt,sz_11_25_st,sz_26_50_ftlt,sz_26_50_ftst,sz_26_50_ptlt,sz_26_50_ptst,sz_26_50_emp,sz_26_50_lt,sz_26_50_st,sz_51_100_ftlt,sz_51_100_ftst,sz_51_100_ptlt,sz_51_100_ptst,sz_51_100_emp,sz_51_100_lt,sz_51_100_st,sz_101_250_ftlt,sz_101_250_ftst,sz_101_250_ptlt,sz_101_250_ptst,sz_101_250_emp,sz_101_250_lt,sz_101_250_st,sz_251_500_ftlt,sz_251_500_ftst,sz_251_500_ptlt,sz_251_500_ptst,sz_251_500_emp,sz_251_500_lt,sz_251_500_st,sz_501up_ftlt,sz_501up_ftst,sz_501up_ptlt,sz_501up_ptst,sz_501up_emp,sz_501up_lt,sz_501up_st,sz_unk_ftlt,sz_unk_ftst,sz_unk_ptlt,sz_unk_ptst,sz_unk_emp,sz_unk_lt,sz_unk_st,bsind_ftlt,bsind_ftst,bsind_ptlt,bsind_ptst,bsind_emp,bsind_lt,bsind_st,gov_ftlt,gov_ftst,gov_ptlt,gov_ptst,gov_emp,gov_lt,gov_st,pub_ftlt,pub_ftst,pub_ptlt,pub_ptst,pub_emp,pub_lt,pub_st,fedclk_ftlt,fedclk_ftst,fedclk_ptlt,fedclk_ptst,fedclk_emp,fedclk_lt,fedclk_st,locclk_ftlt,locclk_ftst,locclk_ptlt,locclk_ptst,locclk_emp,locclk_lt,locclk_st,othclk_ftlt,othclk_ftst,othclk_ptlt,othclk_ptst,othclk_emp,acad_ftlt,acad_ftst,acad_ptlt,acad_ptst,acad_emp,acad_lt,acad_st,unk_ftlt,unk_ftst,unk_ptlt,unk_ptst,unk_emp,total_ftlt,total_ftst,total_ptlt,total_ptst,total_emp_type,total_lt,total_st,state_emp1,state_emp1_num,state_emp2,state_emp2_num,state_emp3,state_emp3_num,foreign_emp_num
00100300,Faulkner University,2010,70,,,,,,,,,,,,,,,,,,,,,,,,,,0,,6,6,1,85,,,,,,0,0,,,,,,,,,,,,,,,,,,,,0,,,,,10,10,0,,,,,24,23,1,,,,,3,3,0,,,,,4,3,1,,,,,0,0,0,,,,,1,1,0,,,,,0,0,0,,,,,0,0,0,,,,,0,0,0,,,,,6,6,0,,,,,21,21,0,,,,,1,1,0,,,,,0,0,0,,,,,2,2,0,,,,,,,,,,0,0,0,,,,,0,,,,,72,70,2,AL,51,GA,5,FL,3,0
00100300,Faulkner University,2011,,57,0,5,1,63,10,0,3,2,15,6,0,0,1,7,2,0,1,1,4,0,0,0,0,0,2,1,3,6,0,101,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,7,0,0,0,7,,,34,0,3,1,38,,,2,0,0,0,2,,,0,0,0,0,0,,,5,0,1,0,6,,,1,0,0,0,1,,,0,0,0,0,0,,,0,0,0,0,0,,,0,0,0,0,0,,,10,0,2,4,16,,,13,0,3,0,16,,,1,0,0,0,1,,,1,0,0,0,1,,,1,0,0,0,1,,,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,75,0,9,5,89,,,AL,62,GA,13,TN,3,0
00100300,Faulkner University,2012,,52,5,3,0,60,14,0,1,0,15,2,0,1,1,4,3,0,5,0,8,0,0,0,0,0,2,1,2,10,2,104,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,1,0,10,,,27,0,3,0,30,,,1,0,0,0,1,,,2,0,0,0,2,,,7,3,0,0,10,,,0,0,0,0,0,,,0,0,0,0,0,,,1,0,0,0,1,,,0,0,0,0,0,,,11,2,5,0,18,,,6,0,0,0,6,,,2,0,0,0,2,,,1,0,0,0,1,,,2,0,0,0,2,,,0,0,0,0,0,2,0,1,1,4,,,0,0,0,0,0,71,5,10,1,87,,,AL,46,GA,9,FL,5,0
00100300,Faulkner University,2013,,60,0,2,0,62,13,0,5,0,18,0,0,1,0,1,2,0,1,0,3,0,0,0,0,0,1,0,1,15,0,101,0,0,0,0,0,,,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,11,0,0,0,11,,,35,0,5,0,40,,,0,0,1,0,1,,,0,0,0,0,0,,,3,0,0,0,3,,,0,0,0,0,0,,,0,0,0,0,0,,,1,0,0,0,1,,,1,0,0,0,1,,,10,0,2,0,12,,,9,0,0,0,9,,,0,0,0,0,0,,,1,0,0,0,1,,,2,0,0,0,2,,,0,0,0,0,0,2,0,1,0,3,,,0,0,0,0,0,75,0,9,0,84,,,AL,53,TN,6,FL,4,0
00100300,Faulkner University,2014,,38,1,0,0,39,19,1,1,2,23,3,0,0,0,3,0,0,1,0,1,1,0,0,0,1,0,0,0,14,2,83,0,0,0,0,0,,,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,7,0,0,0,7,,,27,1,0,0,28,,,2,0,0,0,2,,,1,0,0,0,1,,,2,0,0,0,2,,,0,0,0,0,0,,,0,0,0,0,0,,,0,0,0,0,0,,,0,0,0,1,1,,,9,0,0,0,9,,,9,1,0,0,10,,,2,0,0,0,2,,,0,0,0,0,0,,,0,0,0,1,1,,,0,0,0,0,0,1,0,1,0,2,,,1,0,1,0,2,61,2,2,2,67,,,AL,47,GA,5,TN,4,0
00100300,Faulkner University,2015,,51,2,1,0,54,21,0,0,0,21,2,0,0,0,2,4,0,2,0,6,0,0,0,0,0,1,0,0,8,2,95,0,0,0,0,0,,,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,7,0,0,0,7,,,29,0,0,0,29,,,3,0,0,0,3,,,0,0,0,0,0,,,2,0,0,0,2,,,2,0,0,0,2,,,0,0,0,0,0,,,0,0,0,0,0,,,2,0,0,0,2,,,10,0,1,0,11,,,19,1,0,0,20,,,2,0,1,0,3,,,0,1,0,0,1,,,0,0,0,0,0,,,0,0,0,0,0,2,0,0,0,2,,,1,0,1,0,2,79,2,3,0,84,,,AL,57,GA,8,FL,4,0
00100300,Faulkner University,2016,,43,0,2,1,46,11,0,1,0,12,4,0,0,0,4,0,0,1,1,2,0,0,0,0,0,2,0,0,8,0,74,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,4,,,21,0,2,0,23,,,2,0,0,0,2,,,0,0,0,0,0,,,1,0,0,0,1,,,3,0,0,0,3,,,0,0,0,0,0,,,0,0,0,0,0,,,3,0,0,0,3,,,5,0,1,1,7,,,15,0,1,1,17,,,1,0,0,0,1,,,1,0,0,0,1,,,0,0,0,0,0,,,0,0,0,0,0,1,0,0,0,1,,,1,0,0,0,1,58,0,4,2,64,,,AL,51,GA,4,FL,3,0
00100300,Faulkner University,2017,,38,0,1,0,39,14,1,1,1,17,4,0,3,0,7,2,2,0,0,4,0,0,0,0,1,0,1,0,6,1,77,0,0,0,0,0,,,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,2,0,0,0,2,,,15,2,1,0,18,,,2,0,0,0,2,,,2,0,1,0,3,,,4,0,0,0,4,,,2,0,0,0,2,,,1,0,0,0,1,,,0,0,0,0,0,,,0,0,0,0,0,,,6,1,0,0,7,,,12,0,2,0,14,,,1,0,0,0,1,,,0,0,0,0,0,,,1,0,0,1,2,,,0,0,0,0,0,4,0,0,0,4,,,6,0,0,0,6,58,3,4,1,66,,,AL,42,GA,4,TX,3,1
00103600,Samford University,2010,109,,,,,,,,,,,,,,,,,,,,,,,,,,8,,5,14,7,156,,,,,,1,0,,,,,,,,,,,,,,,,,,,,1,,,,,9,9,0,,,,,27,22,5,,,,,9,9,0,,,,,5,5,0,,,,,8,7,1,,,,,7,7,0,,,,,3,3,0,,,,,1,1,0,,,,,9,8,1,,,,,19,15,4,,,,,8,7,1,,,,,7,7,0,,,,,3,3,0,,,,,6,6,0,,,,,,,,,,1,0,1,,,,,0,,,,,122,109,13,AL,82,TN,15,GA,7,0
00103600,Samford University,2011,,97,4,5,2,108,12,0,0,1,13,0,0,0,0,0,1,0,1,0,2,0,0,0,0,0,6,0,5,9,5,148,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,9,0,0,0,9,,,36,0,4,1,41,,,8,1,0,0,9,,,2,0,0,0,2,,,9,0,0,0,9,,,8,1,0,1,10,,,4,0,0,0,4,,,2,0,0,0,2,,,0,0,1,0,1,,,13,2,1,1,17,,,6,0,0,0,6,,,4,0,0,0,4,,,4,0,0,0,4,,,3,0,0,0,3,,,0,0,0,0,0,1,0,0,0,1,,,1,0,0,0,1,110,4,6,3,123,,,AL,85,GA,12,TN,9,0
