schoolid,schoolname,calendaryear,totaljd,hispanicjd,amindianjd,asianjd,blackjd,nathawjd,twoormorejd,minorityjd,whitejd,nonresalienjd,unknownjd,menjd,hispanicmenjd,amindianmenjd,asianmenjd,blackmenjd,nathawmenjd,twoormoremenjd,minoritymenjd,whitemenjd,nonresalienmenjd,unknownmenjd,womenjd,hispanicwomenjd,amindianwomenjd,asianwomenjd,blackwomenjd,nathawwomenjd,twoormorewomenjd,minoritywomenjd,whitewomenjd,nonresalienwomenjd,unknownwomenjd,otherjd,hispanicotherjd,amindianotherjd,asianotherjd,blackotherjd,nathawotherjd,twoormoreotherjd,minorityotherjd,whiteotherjd,nonresalienotherjd,unknownotherjd,totalftjd,fthispanicjd,ftamindjd,ftasianjd,ftblackjd,ftnathawjd,fttwoormorejd,ftminorityjd,ftwhitejd,ftnonresalienjd,ftunknownjd,totalptjd,pthispanicjd,ptamindjd,ptasianjd,ptblackjd,ptnathawjd,pttwoormorejd,ptminorityjd,ptwhitejd,ptnonresalienjd,ptunknownjd,totaljd1,hispanicjd1,amindianjd1,asianjd1,blackjd1,nathawjd1,twoormorejd1,minorityjd1,whitejd1,nonresalienjd1,unknownjd1,amindianmenjd1,amindianotherjd1,amindianwomenjd1,asianmenjd1,asianotherjd1,asianwomenjd1,blackmenjd1,blackotherjd1,blackwomenjd1,hispanicmenjd1,hispanicotherjd1,hispanicwomenjd1,minoritymenjd1,minorityotherjd1,minoritywomenjd1,nathawmenjd1,nathawotherjd1,nathawwomenjd1,nonresalienmenjd1,nonresalienotherjd1,nonresalienwomenjd1,twoormoremenjd1,twoormoreotherjd1,twoormorewomenjd1,unknownmenjd1,unknownotherjd1,unknownwomenjd1,whitemenjd1,whiteotherjd1,whitewomenjd1,menjd1,otherjd1,womenjd1,amindianjd2,amindianmenjd2,amindianotherjd2,amindianwomenjd2,asianjd2,asianmenjd2,asianotherjd2,asianwomenjd2,blackjd2,blackmenjd2,blackotherjd2,blackwomenjd2,hispanicjd2,hispanicmenjd2,hispanicotherjd2,hispanicwomenjd2,minorityjd2,minoritymenjd2,minorityotherjd2,minoritywomenjd2,nathawjd2,nathawmenjd2,nathawotherjd2,nathawwomenjd2,nonresalienjd2,nonresalienmenjd2,nonresalienotherjd2,nonresalienwomenjd2,twoormorejd2,twoormoremenjd2,twoormoreotherjd2,twoormorewomenjd2,unknownjd2,unknownmenjd2,unknownotherjd2,unknownwomenjd2,whitejd2,whitemenjd2,whiteotherjd2,whitewomenjd2,menjd2,otherjd2,womenjd2,totaljd2,amindianjd3,amindianmenjd3,amindianotherjd3,amindianwomenjd3,asianjd3,asianmenjd3,asianotherjd3,asianwomenjd3,blackjd3,blackmenjd3,blackotherjd3,blackwomenjd3,hispanicjd3,hispanicmenjd3,hispanicotherjd3,hispanicwomenjd3,minorityjd3,minoritymenjd3,minorityotherjd3,minoritywomenjd3,nathawjd3,nathawmenjd3,nathawotherjd3,nathawwomenjd3,nonresalienjd3,nonresalienmenjd3,nonresalienotherjd3,nonresalienwomenjd3,twoormorejd3,twoormoremenjd3,twoormoreotherjd3,twoormorewomenjd3,unknownjd3,unknownmenjd3,unknownotherjd3,unknownwomenjd3,whitejd3,whitemenjd3,whiteotherjd3,whitewomenjd3,menjd3,otherjd3,womenjd3,totaljd3
00100300,Faulkner University,2011,335,5,4,5,26,2,0,42,284,0,9,201,3,2,3,13,0,0,21,175,0,5,134,2,2,2,13,2,0,21,109,0,4,,,,,,,,,,,,334,5,4,4,26,2,0,41,284,0,9,1,0,0,1,0,0,0,1,0,0,0,124,2,4,3,12,0,0,21,96,0,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00100300,Faulkner University,2012,314,5,4,7,34,1,4,55,251,1,7,173,3,2,3,11,0,2,21,150,0,2,141,2,2,4,23,1,2,34,101,1,5,,,,,,,,,,,,314,5,4,7,34,1,4,55,251,1,7,0,0,0,0,0,0,0,0,0,0,0,127,0,2,3,26,0,4,35,90,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00100300,Faulkner University,2013,282,3,4,8,51,0,4,70,202,1,9,140,0,2,4,17,0,3,26,110,0,4,142,3,2,4,34,0,1,44,92,1,5,,,,,,,,,,,,282,3,4,8,51,0,4,70,202,1,9,0,0,0,0,0,0,0,0,0,0,0,104,2,0,4,28,0,2,36,65,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00100300,Faulkner University,2014,283,6,3,5,75,0,0,89,190,0,4,132,3,2,2,24,0,0,31,99,0,2,151,3,1,3,51,0,0,58,91,0,2,0,0,0,0,0,0,0,0,0,0,0,273,6,3,5,71,0,0,85,184,0,4,10,0,0,0,4,0,0,4,6,0,0,118,5,2,2,35,0,0,44,73,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00100300,Faulkner University,2015,259,7,4,4,85,0,0,100,156,1,2,119,3,2,1,24,0,0,30,88,1,0,140,4,2,3,61,0,0,70,68,0,2,0,0,0,0,0,0,0,0,0,0,0,259,7,4,4,85,0,0,100,156,1,2,0,0,0,0,0,0,0,0,0,0,0,101,3,3,1,38,0,0,45,53,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00100300,Faulkner University,2016,248,9,6,4,84,0,0,103,144,0,1,125,4,4,1,29,0,0,38,87,0,0,123,5,2,3,55,0,0,65,57,0,1,0,0,0,0,0,0,0,0,0,0,0,245,9,6,4,84,0,0,103,141,0,1,3,0,0,0,0,0,0,0,3,0,0,92,3,3,2,30,0,0,38,54,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00100300,Faulkner University,2017,223,11,1,2,57,0,6,77,142,2,2,116,2,1,0,22,0,4,29,86,0,1,107,9,0,2,35,0,2,48,56,2,1,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,75,5,0,0,12,0,2,19,54,1,1,0,0,0,0,0,0,8,0,4,0,0,5,10,0,9,0,0,0,0,0,1,2,0,0,1,0,0,31,0,23,42,0,33,0,0,0,0,1,0,0,1,19,7,0,12,2,1,0,1,25,10,0,15,0,0,0,0,1,0,0,1,3,2,0,1,0,0,0,0,45,26,0,19,36,0,35,71,1,1,0,0,1,0,0,1,26,7,0,19,4,1,0,3,33,9,0,24,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,43,29,0,14,38,0,39,77
00103600,Samford University,2011,489,11,3,11,26,1,14,66,394,5,24,284,4,1,7,7,0,7,26,243,0,15,205,7,2,4,19,1,7,40,151,5,9,,,,,,,,,,,,489,11,3,11,26,1,14,66,394,5,24,0,0,0,0,0,0,0,0,0,0,0,161,3,0,6,6,0,2,17,134,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00103600,Samford University,2012,421,12,1,10,24,1,12,60,348,5,8,241,3,1,7,8,0,5,24,211,2,4,180,9,0,3,16,1,7,36,137,3,4,,,,,,,,,,,,421,12,1,10,24,1,12,60,348,5,8,0,0,0,0,0,0,0,0,0,0,0,123,3,0,2,6,0,2,13,107,5,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00103600,Samford University,2013,430,12,0,12,19,0,6,49,371,0,10,234,5,0,6,4,0,2,17,211,0,6,196,7,0,6,15,0,4,32,160,0,4,,,,,,,,,,,,409,12,0,12,16,0,4,44,356,0,9,21,0,0,0,3,0,2,5,15,0,1,177,6,0,6,8,0,2,22,152,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
