schoolid,schoolname,calendaryear,sprfactotal,sprftfactotal,sprftfacother,spradminfactotal,sprptfactotal,fallfactotal,fallftfactotal,fallftfacother,falladminfactotal,fallptfactotal,sprfacmen,sprftfacmen,sprotherftfacmen,spradminfacmen,sprptfacmen,fallfacmen,fallftfacmen,fallotherftfacmen,falladminfacmen,fallptfacmen,sprfacwomen,sprftfacwomen,sprotherftfacwomen,spradminfacwomen,sprptfacwomen,fallfacwomen,fallftfacwomen,fallotherftfacwomen,falladminfacwomen,fallptfacwomen,fallfacother,sprfacother,fallfacminority,sprfacminority,fallftfacminority,sprftfacminority,fallotherftfacminority,sprotherftfacminority,falladminfacother,spradminfacother,falladminfacminority,spradminfacminority,fallptfacminority,sprptfacminority,fallptfacother,sprptfacother
00100300,Faulkner University,2011,35,18,1,12,4,39,19,1,12,7,24,15,1,6,2,28,16,1,6,5,11,3,0,6,2,11,3,0,6,2,,,2,3,2,3,0,0,,,0,0,0,0,,
00100300,Faulkner University,2012,30,15,2,8,5,31,14,2,8,7,23,14,1,6,2,25,13,1,6,5,7,1,1,2,3,6,1,1,2,2,,,2,2,2,2,0,0,,,0,0,0,0,,
00100300,Faulkner University,2013,30,14,2,9,5,30,13,2,8,7,23,13,1,7,2,25,12,1,7,5,7,1,1,2,3,5,1,1,1,2,,,2,2,2,2,0,0,,,0,0,0,0,,
00100300,Faulkner University,2014,33,15,,11,7,31,15,,12,4,24,12,,7,5,21,12,,7,2,9,3,,4,2,10,3,,5,2,0,0,4,2,2,2,,,0,0,1,0,1,0,0,0
00100300,Faulkner University,2015,32,14,0,13,5,37,12,0,12,13,21,11,,7,3,26,10,,7,9,11,3,,6,2,11,2,,5,4,0,0,4,7,2,2,,,0,0,1,2,1,3,0,0
00100300,Faulkner University,2016,28,12,0,13,3,32,12,0,13,7,19,9,,7,3,22,10,,7,5,9,3,,6,0,10,2,,6,2,0,0,4,3,2,2,,,0,0,1,1,1,0,0,0
00103600,Samford University,2011,59,22,0,5,32,53,23,0,5,25,43,16,0,3,24,36,17,0,3,16,16,6,0,2,8,17,6,0,2,9,,,8,7,4,4,0,0,,,2,2,2,1,,
00103600,Samford University,2012,58,23,0,5,30,53,22,0,5,26,43,17,0,3,23,35,16,0,3,16,15,6,0,2,7,18,6,0,2,10,,,10,7,5,4,0,0,,,2,2,3,1,,
00103600,Samford University,2013,52,21,0,5,26,50,20,1,5,24,39,16,0,3,20,35,14,1,3,17,13,5,0,2,6,15,6,0,2,7,,,10,7,5,4,0,0,,,2,2,3,1,,
00103600,Samford University,2014,52,20,,5,27,52,19,,4,29,39,15,,3,21,37,13,,3,21,13,5,,2,6,15,6,,1,8,0,0,9,9,5,4,,,0,0,1,2,3,3,0,0
