schoolid,schoolname,calendaryear,academicyear,condscholind,numenteringcondschol,numeliminatedcondschol,numstudents,ftnumstudents,ptnumstudents,totalrecvgrant,totalrecvgrantp,ftrecvgrant,ptrecvgrant,totalgrantlthalf,totalgrantlthalfp,ftgrantlthalf,ptgrantlthalf,totalgrantalhalf,totalgrantalhalfp,ftgrantalhalf,ptgrantalhalf,totalgrantfull,totalgrantfullp,ftgrantfull,ptgrantfull,totalgrantgtfull,totalgrantgtfullp,ftgrantgtfull,ptgrantgtfull,ftgrantamt75,ptgrantamt75,ftgrantamtmedian,ptgrantamtmedian,ftgrantamt25,ptgrantamt25
00100300,Faulkner University,2011,2010,,,,354,341,13,110,31.1,110,0,43,12.1,43,0,51,14.4,51,0,16,4.5,16,0,0,0,0,0,,,15500,0,,
00100300,Faulkner University,2012,2011,Y,34,13,335,334,1,101,30.1,101,0,45,13.4,45,0,43,12.8,43,0,13,3.9,13,0,0,0,0,0,21780,0,16500,0,8250,0
00100300,Faulkner University,2013,2012,Y,36,12,314,314,0,141,44.9,141,,83,26.4,83,,47,15,47,,11,3.5,11,,0,0,0,,21780,,10890,,6600,
00100300,Faulkner University,2014,2013,Y,53,8,282,282,0,177,62.8,177,,103,36.5,103,,67,23.8,67,,7,2.5,7,,0,0,0,,22440,,11220,,6800,
00100300,Faulkner University,2015,2014,Y,55,9,283,273,10,215,76,215,0,131,46.3,131,0,73,25.8,73,0,11,3.9,11,0,0,0,0,0,17000,0,11220,0,6800,0
00100300,Faulkner University,2016,2015,Y,42,2,259,259,0,207,79.9,207,,118,45.6,118,0,79,30.5,79,,10,3.9,10,,0,0,0,,22100,,11220,,6800,
00100300,Faulkner University,2017,2016,Y,66,14,248,245,3,190,76.6,190,0,114,46,114,0,59,23.8,59,0,17,6.9,17,0,0,0,0,0,24420,0,12210,0,7400,0
00103600,Samford University,2011,2010,,,,491,491,0,174,35.4,174,,88,17.9,88,,48,9.8,48,,31,6.3,31,,7,1.4,7,,,,18000,,,
00103600,Samford University,2012,2011,Y,31,5,489,489,0,182,37.2,182,,105,21.5,105,,45,9.2,45,,24,4.9,24,,8,1.6,8,,28487,,15000,,3000,
00103600,Samford University,2013,2012,Y,40,6,421,421,0,211,50.1,211,,145,34.4,145,,34,8.1,34,,23,5.5,23,,9,2.1,9,,26907,,15000,,1750,
00103600,Samford University,2014,2013,Y,60,9,430,409,21,205,47.7,205,0,166,38.6,166,0,19,4.4,19,0,19,4.4,19,0,1,0.2,1,0,17938,0,15000,0,2309,0
00103600,Samford University,2015,2014,Y,82,12,426,401,25,212,49.8,209,3,167,39.2,164,3,29,6.8,29,0,15,3.5,15,0,1,0.2,1,0,18117,1500,15000,3395,10000,0
00103600,Samford University,2016,2015,Y,140,7,449,424,25,297,66.1,294,3,231,51.4,228,3,51,11.4,51,0,10,2.2,10,0,5,1.1,5,0,18298,12500,13500,10000,8000,7000
00103600,Samford University,2017,2016,Y,138,11,434,408,26,348,80.2,346,2,245,56.5,243,2,84,19.4,84,0,15,3.5,15,0,4,0.9,4,0,21600,0,13900,0,9300,0
00105100,University of Alabama,2011,2010,,,,509,509,0,235,46.2,235,,71,13.9,71,,83,16.3,83,,13,2.6,13,,68,13.4,68,,,,14000,,,
00105100,University of Alabama,2012,2011,Y,48,22,509,509,0,240,47.2,240,,76,14.9,76,,91,17.9,91,,8,1.6,8,,65,12.8,65,,23000,,14250,,5175,
00105100,University of Alabama,2013,2012,Y,82,34,487,487,0,258,53,258,,76,15.6,76,,110,22.6,110,,8,1.6,8,,64,13.1,64,,25000,,19660,,6375,
