schoolid,schoolname,calendaryear,ftrestuition,ptrestuition,ftnonrestuition,ptnonrestuition,tuitionguarind,oncampuscosts,offcampuscosts,athomecosts,schooltype
00100300,Faulkner University,2011,32187,,32187,,N,,22400,,PRI
00100300,Faulkner University,2012,33360,,33360,,N,,22400,,PRI
00100300,Faulkner University,2013,34000,,34000,,N,,22500,,PRI
00100300,Faulkner University,2014,34000,,34000,,N,,22500,,PRI
00100300,Faulkner University,2015,35050,,35050,,N,,28400,,PRI
00100300,Faulkner University,2016,37370,,37370,,N,,28400,,PRI
00100300,Faulkner University,2017,38000,,38000,,N,,28000,,PRI
00103600,Samford University,2011,34848,20714,34848,20714,N,,21902,21902,PRI
00103600,Samford University,2012,36216,21367,36216,21367,N,,21934,21934,PRI
00103600,Samford University,2013,36216,21367,36216,21367,N,,20274,,PRI
00103600,Samford University,2014,36734,21673,36734,21673,N,,20996,,PRI
00103600,Samford University,2015,37096,21889,37096,21889,N,,17311,,PRI
00103600,Samford University,2016,37146,21916,37146,21916,N,,17433,,PRI
00103600,Samford University,2017,38448,22716,38448,22716,N,,18022,,PRI
00105100,University of Alabama,2011,18030,,30950,,N,16522,16522,16522,PUB
00105100,University of Alabama,2012,19660,,32920,,N,16322,16322,16322,PUB
00105100,University of Alabama,2013,20770,,34840,,N,17150,17150,17150,PUB
00105100,University of Alabama,2014,21624,,36304,,N,18202,18202,18202,PUB
00105100,University of Alabama,2015,22324,,37664,,N,17972,17972,17972,PUB
00105100,University of Alabama,2016,23055,,39115,,N,18086,18086,18086,PUB
00105100,University of Alabama,2017,23720,,40670,,N,18254,18254,18254,PUB
00108100,Arizona State University,2011,24471,,38595,,N,20906,20906,20906,PUB
00108100,Arizona State University,2012,26267,,40815,,N,21388,21388,21388,PUB
00108100,Arizona State University,2013,26268,,40818,,N,21388,21388,21388,PUB
00108100,Arizona State University,2014,26753,,41751,,N,21388,21388,21388,PUB
00108100,Arizona State University,2015,27074,,42794,,N,21388,21388,21388,PUB
00108100,Arizona State University,2016,27226,,43896,,N,21388,21388,21388,PUB
00108100,Arizona State University,2017,27388,,44888,,N,21710,21710,21710,PUB
00108300,University of Arizona,2011,26089,,41051,,N,21678,21678,14678,PUB
00108300,University of Arizona,2012,27272,,42283,,N,22050,22050,10032,PUB
00108300,University of Arizona,2013,24396,,38856,,N,23023,23023,10572,PUB
00108300,University of Arizona,2014,24607,,29000,,N,20900,20900,12100,PUB
00108300,University of Arizona,2015,24500,,29000,,N,21050,21050,12250,PUB
00108300,University of Arizona,2016,24500,,29000,,N,21050,21050,13550,PUB
00108300,University of Arizona,2017,25826,,30326,,N,21350,21350,12700,PUB
