schoolid,schoolname,calendaryear,transin,transout,transout1l,transjd1gpa75,transjd1gpa50,transjd1gpa25
00100300,Faulkner University,2011,0,9,,,,
00100300,Faulkner University,2012,2,16,,,,
00100300,Faulkner University,2013,0,9,,,,
00100300,Faulkner University,2014,4,9,,,,
00100300,Faulkner University,2015,1,13,,,,
00100300,Faulkner University,2016,0,9,,,,
00100300,Faulkner University,2017,3,,7,0,0,0
00103600,Samford University,2011,7,14,,,,
00103600,Samford University,2012,2,8,,,,
00103600,Samford University,2013,7,6,,,,
00103600,Samford University,2014,4,15,,,,
00103600,Samford University,2015,6,7,,,2.96,
00103600,Samford University,2016,0,8,,,,
00103600,Samford University,2017,1,,10,0,0,0
00105100,University of Alabama,2011,10,2,,,,
00105100,University of Alabama,2012,13,0,,,,
00105100,University of Alabama,2013,15,1,,,,
00105100,University of Alabama,2014,12,5,,3.52,3.3,3.27
00105100,University of Alabama,2015,6,1,,,3.35,
00105100,University of Alabama,2016,5,10,,,,
00105100,University of Alabama,2017,9,,4,0,0,0
00108100,Arizona State University,2011,34,3,,,,
00108100,Arizona State University,2012,42,8,,,,
00108100,Arizona State University,2013,73,4,,,,
00108100,Arizona State University,2014,66,3,,3.51,3.23,2.97
00108100,Arizona State University,2015,65,4,,3.5,3.17,2.95
00108100,Arizona State University,2016,65,6,,3.4,3.09,2.96
00108100,Arizona State University,2017,56,,0,3.44,3.22,3.06
00108300,University of Arizona,2011,6,11,,,,
00108300,University of Arizona,2012,24,14,,,,
00108300,University of Arizona,2013,44,5,,,,
00108300,University of Arizona,2014,4,5,,,,
00108300,University of Arizona,2015,6,6,,,2.64,
00108300,University of Arizona,2016,7,5,,,2.95,
00108300,University of Arizona,2017,10,,2,0,0,0
00110101,University of Arkansas-Little Rock,2011,2,7,,,,
00110101,University of Arkansas-Little Rock,2012,1,4,,,,
00110101,University of Arkansas-Little Rock,2013,4,2,,,,
00110101,University of Arkansas-Little Rock,2014,2,4,,,,
00110101,University of Arkansas-Little Rock,2015,2,5,,,,
00110101,University of Arkansas-Little Rock,2016,1,0,,,,
00110101,University of Arkansas-Little Rock,2017,0,,5,0,0,0
00110800,University of Arkansas-Fayetteville,2011,7,2,,,,
00110800,University of Arkansas-Fayetteville,2012,6,2,,,,
00110800,University of Arkansas-Fayetteville,2013,11,2,,,,
00110800,University of Arkansas-Fayetteville,2014,8,2,,,2.69,
00110800,University of Arkansas-Fayetteville,2015,4,1,,,,
00110800,University of Arkansas-Fayetteville,2016,2,2,,,,
00110800,University of Arkansas-Fayetteville,2017,2,,0,0,0,0
00116453,Chapman University,2011,9,10,,,,
00116453,Chapman University,2012,7,8,,,,
00116453,Chapman University,2013,3,6,,,,
00116453,Chapman University,2014,13,5,,2.64,2.76,2.91
00116453,Chapman University,2015,9,7,,,2.85,
00116453,Chapman University,2016,7,9,,,3.16,
00116453,Chapman University,2017,12,,0,3.16,3.11,3.05
00120529,Golden Gate University,2011,2,36,,,,
00120529,Golden Gate University,2012,0,19,,,,
00120529,Golden Gate University,2013,0,29,,,,
00120529,Golden Gate University,2014,0,17,,,,
00120529,Golden Gate University,2015,0,18,,,,
00120529,Golden Gate University,2016,5,12,,,,
00120529,Golden Gate University,2017,11,,9,0,0,0
00121601,University of La Verne,2011,1,34,,,,
00121601,University of La Verne,2012,2,4,,,,
00121601,University of La Verne,2013,1,1,,,,
00121601,University of La Verne,2014,0,3,,,,
00121601,University of La Verne,2015,2,1,,,,
